R1,R2,R3,R4,RSW1,RSW2,H1,H2,H3,H4,HSW1,HSW2,D1,D2,D3,D4,DSW1,DSW2,Kingdom,Phylum,Species
9.56,9.64,6.85,8.43,8.89,11.33,6.84,7.22,6.96,6.76,8.94,6.08,6.6,6.62,7.54,7.73,2.44,4.71,Bacteria,Proteobacteria,Psychromonas
2.29,2.27,3.67,2.17,1.97,2.13,2.96,9.67,4.72,3.36,3.23,5.54,3.42,2.63,5.87,4.44,3.74,2.28,Bacteria,Proteobacteria,Vibrio
0.96,1.37,0.64,1.16,1.24,1.38,1.42,1.41,1.96,1.59,1.94,1.67,6.36,7.87,9.16,6.37,2.47,5.56,Bacteria,Proteobacteria,Colwellia
2.12,2.49,1.19,2.27,3.41,3.58,2.65,1.06,1.72,2.58,2.06,2.52,2.63,6.25,2.67,2.04,3.21,7.17,Bacteria,Proteobacteria,Rhodobacteraceae
0.51,0.52,0.28,0.42,0.71,0.73,2.06,0.76,1.01,1.56,1.51,0.82,4.43,5.51,4.67,3.88,7.05,11.64,Bacteria,Proteobacteria,Leucothrix
2.35,2.36,4.62,2.48,1.98,1.64,3.5,5.13,4.79,3.8,3.82,1.89,1.56,1.28,1.62,1.55,0.34,0.8,Bacteria,Bacteroidota,Marinifilaceae
1.17,1.03,3.42,1.75,1.14,1.04,2.79,4.95,4.48,2.72,2.38,1.33,0.32,0.38,0.35,0.59,0.67,0.19,Bacteria,Desulfobacterota,Desulfotalea
2.54,1.35,3.25,2.18,1.12,0.74,2.46,3.5,3.07,2.39,2.4,1.36,0.8,0.55,0.52,1.11,0.33,0.77,Bacteria,Bacteroidota,Bacteroidia
2.09,1.95,1.1,2.18,2.59,2.87,0.66,0.75,0.71,1.11,0.81,1.13,1.31,1.61,1.67,1.38,0.94,1.46,Bacteria,Proteobacteria,Gammaproteobacteria
2.33,2.44,1.3,2.07,2.9,2.94,0.52,0.28,0.37,0.54,0.65,0.32,1.68,1.3,1.69,1.58,0.35,1.55,Bacteria,Proteobacteria,Spongiibacteraceae
0.76,1.17,0.85,1.15,1.27,1.13,1.58,1.81,2.47,2.96,1.78,1.81,0.86,0.52,1.87,0.82,0.13,0.3,Bacteria,Proteobacteria,Pseudoalteromonas
0.59,0.84,2.18,1.46,0.8,0.51,1.55,4.17,2.41,1.21,1.07,0.52,1.1,0.76,1.09,1.44,0.29,0.44,Bacteria,Bacteroidota,Roseimarinus
0.96,0.62,1.56,1.3,1.23,1.28,2.01,2.1,3.65,2.52,2.39,1.23,0.34,0.19,0.26,0.34,0.09,0.12,Bacteria,Bacteroidota,Bacteroidetes BD2-2
0.96,1.22,0.66,0.93,1.71,1.47,0.34,0.18,0.33,0.39,0.34,1.15,1.41,1.48,0.95,0.75,5.65,2.13,Bacteria,Proteobacteria,Ruegeria
1.36,0.69,1.05,0.25,0,0,0.33,0.56,0.99,1.26,0.01,0.08,4.05,2.01,3.54,5.09,0.02,0.64,Bacteria,Proteobacteria,Erwiniaceae
0.34,0.29,0.28,0.34,0.3,0.38,0.62,1.81,0.64,0.53,0.43,2.03,1.12,1.45,1.7,2.95,3.25,1.28,Bacteria,Bacteroidota,Lutibacter
